[LEVEL1]
WEATHER: 0.0,0.0,0.0,0.0,0.0
AIRPLANE_62: JET_VIECH,-100,200,0
AIRPLANE_63: JET_VIECH,-200,300,0
AIRPLANE_64: JET_VIECH,-500,400,0
AIRPLANE_65: VIECH,1100,400,0
AIRPLANE_66: VIECH,1200,500,0
AIRPLANE_67: VIECH,1400,600,0
AIRPLANE_68: VIECH,1250,700,0
AIRPLANE_69: VIECH,1250,700,0
AIRPLANE_70: JET_VIECH,-100,200,0
AIRPLANE_71: JET_VIECH,-200,300,0
AIRPLANE_72: JET_VIECH,-500,400,0
AIRPLANE_73: JET_VIECH,-300,500,0
AIRPLANE_74: JET_VIECH,-100,600,0
AIRPLANE_75: JET_VIECH,-400,700,0
AIRPLANE_76: JET_VIECH,-100,200,0
AIRPLANE_77: NUKE_VIECH,-500,400,0
AIRPLANE_78: NUKE_VIECH,-300,500,0
AIRPLANE_79: NUKE_VIECH,-130,600,0
AIRPLANE_80: NUKE_VIECH,1100,700,0
AIRPLANE_81: NUKE_VIECH,1200,500,0
AIRPLANE_82: NUKE_VIECH,1400,600,0
AIRPLANE_83: JET_VIECH,-200,300,0
AIRPLANE_84: JET_VIECH,-500,400,0
AIRPLANE_85: VIECH,1100,400,0
AIRPLANE_86: VIECH,1200,500,0
AIRPLANE_87: VIECH,1400,600,0
AIRPLANE_88: VIECH,1250,700,0
AIRPLANE_89: VIECH,1250,700,0
AIRPLANE_90: JET_VIECH,-100,200,0
AIRPLANE_91: JET_VIECH,-200,300,0
AIRPLANE_92: JET_VIECH,-500,400,0
AIRPLANE_93: JET_VIECH,-300,500,0
AIRPLANE_94: JET_VIECH,-100,600,0
AIRPLANE_95: JET_VIECH,-400,700,0
AIRPLANE_96: JET_VIECH,-100,200,0
AIRPLANE_97: NUKE_VIECH,-500,400,0
AIRPLANE_98: NUKE_VIECH,-300,500,0
AIRPLANE_99: NUKE_VIECH,-130,600,0
AIRPLANE_100: NUKE_VIECH,1100,700,0
AIRPLANE_101: NUKE_VIECH,1200,500,0
AIRPLANE_102: NUKE_VIECH,1400,600,0
AIRPLANE_103: JET_VIECH,-200,300,0
AIRPLANE_104: JET_VIECH,-500,400,0
AIRPLANE_105: VIECH,1100,400,0
AIRPLANE_106: VIECH,1200,500,0
AIRPLANE_107: VIECH,1400,600,0
AIRPLANE_108: VIECH,1250,700,0
AIRPLANE_109: VIECH,1250,700,0
AIRPLANE_110: JET_VIECH,-100,200,0
AIRPLANE_111: JET_VIECH,-200,300,0
AIRPLANE_112: JET_VIECH,-500,400,0
AIRPLANE_113: JET_VIECH,-300,500,0
AIRPLANE_114: JET_VIECH,-100,600,0
AIRPLANE_115: JET_VIECH,-400,700,0
AIRPLANE_116: FRED,-1600,520,0
AIRPLANE_117: FRED,1500,600,0
AIRPLANE_118: FRED,1600,650,0
AIRPLANE_119: FRED,1100,675,0
AIRPLANE_120: FRED,1400,700,0


MAX_AIRPLANES: 24
INTRO_TEXT: Survive this!
INTRO_IMAGE: viech/viech_lvl6.png
INTRO_SOUND: oerks.ogg
INTRO_TIME: 300

